id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
e1fd0e904a53409aada44442f23a51cb,俯仰轴,"PRODUCT, COMPONENT","俯仰轴 consists of a driver, reducer, encoder, and motor, enabling the satellite turntable to perform pitch actions",10,,['588823a50fa2ae7eea9383df183d8a98'],"[-0.01875904  0.02829542 -0.02156783 ...  0.0107354  -0.01391183
 -0.03319947]"
de988724cfdf45cebfba3b13c43ceede,自动化农业喷灌系统,"PRODUCT, SYSTEM",自动化农业喷灌系统 is a system designed to precisely control water flow and sprinkler positioning in agricultural settings to enhance irrigation efficiency and crop productivity,11,,['abe4f205eda50d06d6f8dd7b025f59c7'],"[ 0.01210944  0.02736459 -0.00251405 ... -0.02031117 -0.0298735
  0.01188269]"
96aad7cb4b7d40e9b7e13b94a67af206,农业,INDUSTRY,"农业 refers to the industry of farming and cultivation of plants and animals for food, fiber, and other products",12,,['4418484e1f856e36e079b84bd1272840' 'abe4f205eda50d06d6f8dd7b025f59c7'],"[-0.00304664  0.01657454 -0.01383945 ...  0.00118839 -0.0314276
  0.01379379]"
c9632a35146940c2a86167c7726d35e9,喷灌设备,"EQUIPMENT, TECHNOLOGY",喷灌设备 is the equipment used in the automation of agricultural irrigation systems,13,,['abe4f205eda50d06d6f8dd7b025f59c7'],"[ 0.01148055  0.02946858  0.00577901 ... -0.02162233 -0.03981607
 -0.01206282]"
9646481f66ce4fd2b08c2eddda42fc82,驱动电机,"EQUIPMENT, COMPONENT","The entity ""\u9a71\u52a8\u7535\u673a"", commonly known as a motor, is a crucial component in the automation of various machinery and systems across diverse industries. This motor is pivotal in providing the necessary power and control for motion in automation systems, enabling the precise movement of parts and components. It is widely utilized in manufacturing processes, where it drives the operation of machinery, such as in CNC machining systems, multi-axis drilling machines, and cosmetics production lines. Additionally, it plays a critical role in the automation of movements in antenna measurement systems, waste sorting equipment, and agricultural irrigation systems, where it powers the motion of sprinklers and water flow. In medical devices, such as automatic infusion pumps, this motor ensures the accurate operation of the equipment. It is also employed in vending machines to facilitate the movement of goods. The motor's versatility extends to driving the motion in X, Y, and Z axes in automation processes, including the spray heads in painting lines. Its application in the automation of machinery, like the automation\u8d34\u6807\u673a, underscores its importance in providing the necessary power for motion. Overall, ""\u9a71\u52a8\u7535\u673a"" is an indispensable motor component that powers and controls the motion in a multitude of industrial and commercial applications.",14,,"['51f5fa0deebff5b32f74d90b957de319' '54c84a3acff36a81a14e832661cab5fc'
 '5ba07e67aad936b5e8fdced90ee7e0f5' '617f570544f5137ea2a26ea012860b88'
 '75d656d482f083d807ff14652a2871f6' '78292823ba9a23ddd49ea39f21675fb2'
 '794fefdb523287e635a5dce19320814a' '83e00c12ccf537178db6a3b06b5078f2'
 '8757d4df4f6d7215159f27cbefe87143' '8e000fc4a60954e69e5b2dceaa13a5c0'
 'a4cdb403788ae9e31262a18f4fb0801c' 'abe4f205eda50d06d6f8dd7b025f59c7'
 'ad37dec2a2a19c9d593c5a4927c7c7d2' 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9'
 'b5924964ebff3b005590e9cc94e5b39a' 'b740e95b2369349a884c647a52dc866f'
 'bb8dd1736ac0ae84f0cefaf4d9ae1d0d' 'cc3f86276324c4b3b25d1ec3649d9abf'
 'd560c15d411111345f80197f7486058a' 'd677c45b0e6b17b157c972d420c84d31'
 'd740381af8ef46f554299a093537dd69' 'e77a55ec71b2605da11f93be730a1d44'
 'eced1354dc203db862497de8c414d11c' 'f08d35c87cc299fc9fe46d2ec11626f7']","[ 0.00641998  0.02219155 -0.01010235 ...  0.01300326 -0.03425619
 -0.02569307]"
d91a266f766b4737a06b0fda588ba40b,喷头,"EQUIPMENT, COMPONENT","The entity known as ""\u55b7\u5934"" serves dual functional roles across different industries. Primarily, it is a critical component in irrigation systems, where it functions as the nozzle responsible for the efficient and even distribution of water over crops. Simultaneously, ""\u55b7\u5934"" is also an integral part of spray painting systems, where it acts as the head of the spray equipment, ensuring the precise and uniform application of paint or coating materials. This dual functionality highlights the versatility of ""\u55b7\u5934"" in both agricultural and manufacturing contexts, demonstrating its importance in maintaining the quality and efficiency of processes in these sectors.",15,,"['abe4f205eda50d06d6f8dd7b025f59c7' 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9'
 'f08d35c87cc299fc9fe46d2ec11626f7']","[-0.01370354 -0.0161408   0.00275936 ...  0.00377968 -0.06218561
 -0.01146931]"
bc0e3f075a4c4ebbb7c7b152b65a5625,管道系统,"EQUIPMENT, COMPONENT",管道系统 is the system of pipes used to transport water in the irrigation system,16,,['abe4f205eda50d06d6f8dd7b025f59c7'],"[-0.02462219  0.01903668  0.01983395 ... -0.0124271  -0.03350342
  0.01258485]"
254770028d7a4fa9877da4ba0ad5ad21,编码器,"EQUIPMENT, COMPONENT","The entity ""\u7f16\u7801\u5668"", commonly known as an encoder, is a versatile device that converts mechanical movements into digital or electronic signals for precise control and measurement in various automation systems and machinery. It is widely used across different industries for measuring and controlling the position and speed of motors, mechanical parts, and machinery components, ensuring high-precision operations. This device is essential in applications such as the 3C devices industry, particularly in the turntable assembly, automation waste sorting equipment, cloud platform devices, collaborative robot painting workstations, automatic welding machines, tool grinding machines, CNC machines, cosmetics production lines, medical devices, and multi-axis drilling machines. It also plays a critical role in the screw tightening process, antenna measurement systems, automation labelers, and irrigation systems, providing feedback for precise control and monitoring of movement. In specific contexts, the encoder is part of the components necessary for the magnetic levitation system in lithium battery manufacturing and is used in equipment setups for terrain mapping, which includes a reading head, decoder, and scale. The encoder's functionality is crucial for converting motion into an electrical signal, often used for position, velocity, and acceleration feedback in industrial control systems, enabling accurate and efficient operation in automation and machinery.",17,,"['3a1d23ceba280b76b50f854902585bbb' '429770fe8f393c34ddc5b3b06c00b11f'
 '4418484e1f856e36e079b84bd1272840' '51f5fa0deebff5b32f74d90b957de319'
 '54c84a3acff36a81a14e832661cab5fc' '5ba07e67aad936b5e8fdced90ee7e0f5'
 '617f570544f5137ea2a26ea012860b88' '69db1015cf2586f3740f46c919eb8e25'
 '75d656d482f083d807ff14652a2871f6' '78292823ba9a23ddd49ea39f21675fb2'
 '794fefdb523287e635a5dce19320814a' '795a6efb4c07565e2cea3077eac4130a'
 '7db76b99a4ad703f2ced3f3241ae2de7' '83e00c12ccf537178db6a3b06b5078f2'
 '8757d4df4f6d7215159f27cbefe87143' '8aa843d0b018051f90583fd0dee4a404'
 '8e000fc4a60954e69e5b2dceaa13a5c0' '93f221ac5d3740108fc98f190e7f3d88'
 '993c62a4486ef6aeef83623cbe6ec2b5' 'a4cdb403788ae9e31262a18f4fb0801c'
 'abe4f205eda50d06d6f8dd7b025f59c7' 'ad37dec2a2a19c9d593c5a4927c7c7d2'
 'ae030c245f17423575510c619741160a' 'b310460babc9fa725ad47320c61e0086'
 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9' 'b5924964ebff3b005590e9cc94e5b39a'
 'b740e95b2369349a884c647a52dc866f' 'bb8dd1736ac0ae84f0cefaf4d9ae1d0d'
 'c4ca69bc6be35c42c4725a35a741befa' 'c73034d6a6f91e79c6bd21fffa416202'
 'cc3f86276324c4b3b25d1ec3649d9abf' 'd50dbe44b899b4cfaf149cb3fd0c4159'
 'd560c15d411111345f80197f7486058a' 'd677c45b0e6b17b157c972d420c84d31'
 'd740381af8ef46f554299a093537dd69' 'd89a41b98c4286f63b72a41c3ebea08d'
 'e77a55ec71b2605da11f93be730a1d44' 'eced1354dc203db862497de8c414d11c'
 'f08d35c87cc299fc9fe46d2ec11626f7']","[-0.01710678 -0.01367429 -0.02157517 ... -0.01417972 -0.03552897
 -0.01109792]"
4a67211867e5464ba45126315a122a8a,工业控制器,"EQUIPMENT, COMPONENT","The 工业控制器 (Gōngyè Kòngzhìqì), or Industrial Control Device, is a pivotal component in the realm of industrial automation and machinery operation. It is employed across diverse sectors to manage and coordinate the operation of various components and processes. This versatile device finds application in automation waste sorting equipment, CNC machining processes, medical devices, irrigation systems, cosmetics production lines, multi-axis drilling machines, antenna measurement systems, and vending machines. Its primary function is to control industrial processes, ensuring the smooth and coordinated actions of different machinery and systems. The 工业控制器 is often programmable, enabling it to handle complex operations and monitor processes in industrial settings. It is a critical element in automation systems, where it facilitates the management of machinery and the coordination of components for efficient manufacturing and production.",18,,"['51f5fa0deebff5b32f74d90b957de319' '54c84a3acff36a81a14e832661cab5fc'
 '5ba07e67aad936b5e8fdced90ee7e0f5' '617f570544f5137ea2a26ea012860b88'
 '75d656d482f083d807ff14652a2871f6' '78292823ba9a23ddd49ea39f21675fb2'
 '794fefdb523287e635a5dce19320814a' '83e00c12ccf537178db6a3b06b5078f2'
 '8757d4df4f6d7215159f27cbefe87143' '8e000fc4a60954e69e5b2dceaa13a5c0'
 'a4cdb403788ae9e31262a18f4fb0801c' 'abe4f205eda50d06d6f8dd7b025f59c7'
 'ad37dec2a2a19c9d593c5a4927c7c7d2' 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9'
 'b5924964ebff3b005590e9cc94e5b39a' 'b740e95b2369349a884c647a52dc866f'
 'bb8dd1736ac0ae84f0cefaf4d9ae1d0d' 'cc3f86276324c4b3b25d1ec3649d9abf'
 'd560c15d411111345f80197f7486058a' 'd677c45b0e6b17b157c972d420c84d31'
 'd740381af8ef46f554299a093537dd69' 'e77a55ec71b2605da11f93be730a1d44'
 'eced1354dc203db862497de8c414d11c' 'f08d35c87cc299fc9fe46d2ec11626f7']","[-0.01672949 -0.00740483  0.01227942 ... -0.02915153 -0.02994001
 -0.02745265]"
04dbbb2283b845baaeac0eaf0c34c9da,伺服驱动器,"EQUIPMENT, COMPONENT","The 伺服驱动器 (Servo Drive) is a critical component in various industrial and automation systems, designed to control the motion of servomotors with high precision. It ensures precise control over position, velocity, and torque, facilitating controlled movement in industrial machinery, automation systems, and specific applications such as medical devices, irrigation systems, antenna measurement systems, waste sorting equipment, and cosmetics production lines. The 伺服驱动器 is also utilized in multi-axis drilling machines, CNC machining systems, and vending machines to manage motor speed and position. Originally sourced from Coply, it is now being replaced by a product from the company in question, demonstrating advancements in servo drive technology. Its role in these diverse sectors underscores its importance in achieving accuracy and efficiency in motor-driven operations.",19,,"['04fc8c8af2f683271e982faea72b6a93' '51f5fa0deebff5b32f74d90b957de319'
 '54c84a3acff36a81a14e832661cab5fc' '5ba07e67aad936b5e8fdced90ee7e0f5'
 '617f570544f5137ea2a26ea012860b88' '75d656d482f083d807ff14652a2871f6'
 '78292823ba9a23ddd49ea39f21675fb2' '794fefdb523287e635a5dce19320814a'
 '83e00c12ccf537178db6a3b06b5078f2' '8757d4df4f6d7215159f27cbefe87143'
 '8e000fc4a60954e69e5b2dceaa13a5c0' 'a4cdb403788ae9e31262a18f4fb0801c'
 'abe4f205eda50d06d6f8dd7b025f59c7' 'ad37dec2a2a19c9d593c5a4927c7c7d2'
 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9' 'b5924964ebff3b005590e9cc94e5b39a'
 'b740e95b2369349a884c647a52dc866f' 'bb8dd1736ac0ae84f0cefaf4d9ae1d0d'
 'cc3f86276324c4b3b25d1ec3649d9abf' 'd560c15d411111345f80197f7486058a'
 'd677c45b0e6b17b157c972d420c84d31' 'd740381af8ef46f554299a093537dd69'
 'e77a55ec71b2605da11f93be730a1d44' 'eced1354dc203db862497de8c414d11c'
 'f08d35c87cc299fc9fe46d2ec11626f7']","[ 0.02300501  0.02425684  0.01407859 ... -0.03137923 -0.01533105
 -0.04086497]"
1943f245ee4243bdbfbd2fd619ae824a,某大型农业种植企业,"ORGANIZATION, COMPANY",某大型农业种植企业 is a large-scale agricultural company that uses automation in its farming practices,20,,['abe4f205eda50d06d6f8dd7b025f59c7'],"[ 0.00503928  0.01439821  0.01731136 ... -0.00804058 -0.02697797
 -0.02217836]"
273daeec8cad41e6b3e450447db58ee7,自动化喷涂生产线,"PRODUCT, TECHNOLOGY",自动化喷涂生产线 is a production line designed for precise control of multiple spray heads in synchronous or asynchronous actions to improve the uniformity and efficiency of painting processes,21,,['b4b2ecf75d1aad0ccc5d6f76a00fe3b9'],"[ 0.00129771  0.01511122 -0.0094716  ... -0.00348643  0.00889418
 -0.03105092]"
e69dc259edb944ea9ea41264b9fcfe59,制造业,INDUSTRY,"The manufacturing industry, or 制造业, is a broad sector that encompasses the production and manufacturing of various goods through the use of labor, machines, tools, and chemical or biological processing. This industry category includes sub-sectors such as the food industry, the textile industry, and the production of car parts and other manufactured goods. Automation technologies play a significant role in 制造业, with the use of automation equipment and machinery like the 自动化组织机 and tool grinding machines and their components being integral to the manufacturing process. The sector is characterized by the application of labor, machinery, tools, and chemical or biological processing to create goods and products, demonstrating the diverse and complex nature of the manufacturing industry.",22,,"['11e6b3ae933f56d04dc0bf25295f1a04' '12e4194788bfabe6f4a9aadc8f8a1366'
 '193f87cf7e266aa933fcf9c3aab58025' '26753c1ce00073c23f2d14ce40c0d028'
 '2733b7b74727ba58db94c1283f095dbb' '3304ccd1a407776fdfe70ecfd3572d71'
 '49290954ecdd529e32620a1efe074e79' '4b028e742c5bb99151ce8d6869dd59e1'
 '4ddd4eb11c5e0152334178ab2837961c' '54c84a3acff36a81a14e832661cab5fc'
 '5ba07e67aad936b5e8fdced90ee7e0f5' '5d67b02ec3d25e19d4c5df9075d68aad'
 '69db1015cf2586f3740f46c919eb8e25' '69ddcc4f6ff5df8aa797fee7694ff710'
 '725fed5878bff0529e13ba809e325469' '75d656d482f083d807ff14652a2871f6'
 '78292823ba9a23ddd49ea39f21675fb2' '7db76b99a4ad703f2ced3f3241ae2de7'
 '832e80057536b00f94963c0e4b0ec74e' '83e00c12ccf537178db6a3b06b5078f2'
 '8757d4df4f6d7215159f27cbefe87143' 'a4cdb403788ae9e31262a18f4fb0801c'
 'b310460babc9fa725ad47320c61e0086' 'b4b2ecf75d1aad0ccc5d6f76a00fe3b9'
 'b5924964ebff3b005590e9cc94e5b39a' 'c73034d6a6f91e79c6bd21fffa416202'
 'd50dbe44b899b4cfaf149cb3fd0c4159' 'd560c15d411111345f80197f7486058a'
 'd740381af8ef46f554299a093537dd69' 'e278769b0a13ab97a48ea0f7f0aae2a4'
 'e77a55ec71b2605da11f93be730a1d44' 'eb78ab8fddcb9c2328b61fbcb6f8b8d7'
 'edec272d39e043e58590061853acbd7c' 'f08d35c87cc299fc9fe46d2ec11626f7'
 'ff1f5521156a3aa41a97fbd693ec610f']","[-0.02169949 -0.00600181 -0.02853571 ... -0.00770277 -0.03204069
 -0.00094625]"
e2f5735c7d714423a2c4f61ca2644626,喷涂设备,"EQUIPMENT, TECHNOLOGY","喷涂设备 is the equipment used in the automation of painting processes, typically found in manufacturing settings",23,,['b4b2ecf75d1aad0ccc5d6f76a00fe3b9'],"[ 0.01059006 -0.01527582 -0.00267452 ... -0.00349019 -0.02967123
 -0.02270686]"
deece7e64b2a4628850d4bb6e394a9c3,光学纤维切割机,"PRODUCT, TECHNOLOGY",光学纤维切割机 is a specialized machine used for precise cutting of optical fibers in the semiconductor industry,24,,['2999540b55ee0bc255eb7068816305ca'],"[ 0.03000533 -0.00413302 -0.01408817 ...  0.01089802 -0.02770532
  0.06451944]"
