id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
e1fd0e904a53409aada44442f23a51cb,POETRY RUN POE TEST,"COMMAND, TOOL","poetry run poe test is a command that executes all tests for the package, ensuring its functionality and integrity.",10,,['563caa38fe33c495449888d62950b959'],"[ 0.01390883 -0.00721496 -0.01120682 ... -0.00608813  0.02774766
  0.00364074]"
de988724cfdf45cebfba3b13c43ceede,POETRY RUN POE TEST_UNIT,"COMMAND, TOOL","poetry run poe test_unit is a command that specifically executes unit tests, which are tests that verify the correctness of individual units of code.",11,,['563caa38fe33c495449888d62950b959'],"[ 0.01667821 -0.00810335 -0.01326549 ...  0.03134498  0.03157637
  0.0029704 ]"
96aad7cb4b7d40e9b7e13b94a67af206,POETRY RUN POE TEST_INTEGRATION,"COMMAND, TOOL","poetry run poe test_integration is a command that executes integration tests, which are tests that verify the interaction between different parts of the system.",12,,['563caa38fe33c495449888d62950b959'],"[-0.00294341 -0.00703554 -0.00641368 ...  0.00052264  0.01944592
 -0.01392747]"
c9632a35146940c2a86167c7726d35e9,POETRY RUN POE TEST_SMOKE,"COMMAND, TOOL","poetry run poe test_smoke is a command that executes smoke tests, which are a preliminary set of tests to ensure that the system is in a stable state before more extensive testing.",13,,['563caa38fe33c495449888d62950b959'],"[ 0.02566768 -0.0088948   0.00046035 ...  0.03196016  0.02071824
  0.00991177]"
9646481f66ce4fd2b08c2eddda42fc82,POETRY RUN POE CHECK,"COMMAND, TOOL","poe check is a command that performs a suite of static checks across the package, including formatting, documentation formatting, linting, security patterns, and type-checking.",14,,['563caa38fe33c495449888d62950b959'],"[ 0.02191271 -0.02804939  0.0116406  ... -0.00818111  0.04510696
 -0.00926971]"
d91a266f766b4737a06b0fda588ba40b,POETRY RUN POE FIX,"COMMAND, TOOL","poetry run poe fix is a command that applies any available auto-fixes to the package, typically limited to formatting fixes.",15,,['563caa38fe33c495449888d62950b959'],"[ 0.00047398 -0.02235238  0.02275948 ... -0.00095179  0.03101803
 -0.00462697]"
bc0e3f075a4c4ebbb7c7b152b65a5625,POETRY RUN POE FIX_UNSAFE,"COMMAND, TOOL","poetry run poe fix_unsafe is a command that applies any available auto-fixes to the package, including those that may be unsafe, potentially altering the code in ways that could affect its functionality.",16,,['563caa38fe33c495449888d62950b959'],"[-0.01566155 -0.00351695  0.01823715 ...  0.03200512  0.02915998
 -0.01473395]"
254770028d7a4fa9877da4ba0ad5ad21,POETRY RUN POE FORMAT,"COMMAND, TOOL","poetry run poe format is a command that explicitly runs the formatter across the package, ensuring consistent code style and formatting.",17,,['563caa38fe33c495449888d62950b959'],"[ 0.01859432 -0.00570302 -0.00691578 ... -0.00042143  0.03213897
 -0.01022494]"
4a67211867e5464ba45126315a122a8a,TROUBLESHOOTING,"SECTION, DOCUMENT",Troubleshooting is a section that provides solutions to common problems encountered when using the software or executing commands. It includes specific steps to resolve issues such as missing dependencies or configuration errors.,18,,['563caa38fe33c495449888d62950b959'],"[-0.00074178 -0.05208278 -0.01349145 ... -0.00159159  0.01143478
  0.01284645]"
04dbbb2283b845baaeac0eaf0c34c9da,RUNTIMEERROR,"ERROR, SOFTWARE_ISSUE","A RuntimeError occurred when executing the command 'poetry install', indicating that 'llvm-config' failed to execute. The error suggests that the user should point the LLVM_CONFIG environment variable to the path for llvm-config. This issue is related to the LLVM configuration and is a common software error encountered during the installation process.",19,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[-0.00231169  0.00039691 -0.01318261 ...  0.02004192 -0.01885981
 -0.02007212]"
1943f245ee4243bdbfbd2fd619ae824a,LLVM_CONFIG,"ENVIRONMENT_VARIABLE, CONFIGURATION",LLVM_CONFIG is an environment variable that needs to be set to the path of the llvm-config executable. This variable is crucial for the proper functioning of LLVM-related tools and components in the software development environment.,20,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[ 0.02127778  0.01080136  0.00414336 ... -0.01269126 -0.0514576
  0.04291604]"
273daeec8cad41e6b3e450447db58ee7,LLVM-9,"SOFTWARE, DEVELOPMENT_TOOL","llvm-9 is a version of the LLVM compiler infrastructure, which is a collection of modular and reusable compiler and toolchain technologies. It is required for the installation process to proceed without errors related to the 'llvm-config' executable.",21,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[ 0.01338959  0.01886567 -0.01650851 ...  0.02144708 -0.05054867
  0.02751447]"
e69dc259edb944ea9ea41264b9fcfe59,LLVM-9-DEV,"SOFTWARE, DEVELOPMENT_TOOL","llvm-9-dev is a development package for the LLVM compiler infrastructure version 9. It contains headers and libraries necessary for building software that uses LLVM, and is required for the installation process to proceed without errors related to the 'llvm-config' executable.",22,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[ 0.01065756  0.00987969  0.0113801  ...  0.02262068 -0.04862509
  0.00313632]"
e2f5735c7d714423a2c4f61ca2644626,POETRY INSTALL,"COMMAND, INSTALLATION_PROCESS",poetry install is a command used in the poetry package manager to install all dependencies for a project as specified in the pyproject.toml file. This command is essential for setting up the development environment for a Python project.,23,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[ 0.01721992  0.00490774 -0.01833928 ... -0.01264532  0.03533192
 -0.01271921]"
deece7e64b2a4628850d4bb6e394a9c3,PYTHON.H,"FILE, HEADER_FILE","Python.h is a header file that provides the definitions and declarations for the Python C API. It is required for building C extensions for Python and is missing when the error ""numba/_pymodule.h:6:10: fatal error: Python.h: No such file or directory"" occurs during the 'poetry install' process.",24,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[ 0.01077783  0.00110121  0.00250873 ...  0.02691118  0.02089267
 -0.01913596]"
e657b5121ff8456b9a610cfaead8e0cb,PYTHON3.10-DEV,"SOFTWARE, DEVELOPMENT_TOOL","python3.10-dev is a development package for Python version 3.10. It contains headers, libraries, and other resources necessary for building Python extensions and applications. It is required to resolve the error related to the missing Python.h file during the 'poetry install' process.",25,,['0dc1f5e4f8fb5903f12acf8e141fb205'],"[ 0.00846249 -0.00060164 -0.01380815 ...  0.01938593  0.00993687
 -0.01609161]"
bf4e255cdac94ccc83a56435a5e4b075,GRAPHRAG_LLM_THREAD_COUNT,"ENVIRONMENT_VARIABLE, CONFIGURATION","GRAPHRAG_LLM_THREAD_COUNT is a configuration property and environment variable within the GraphRAG system, specifically impacting the Large Language Model (LLM) component. This variable determines the number of threads allocated for processing requests in the Human-in-the-Loop Request Augmentation Gateway (HRAG). By default, GRAPHRAG_LLM_THREAD_COUNT is set to 50, enabling high concurrency. However, this default setting may lead to potential performance issues due to the high number of threads. Modifying GRAPHRAG_LLM_THREAD_COUNT can help in reducing concurrency and enhancing system stability.",26,,['0dc1f5e4f8fb5903f12acf8e141fb205' '9aff9243c57cabca574b35438bf31a50'],"[ 0.03271159  0.01949904 -0.0138933  ... -0.0341273  -0.02751046
  0.02617218]"
3b040bcc19f14e04880ae52881a89c1c,GRAPHRAG_EMBEDDING_THREAD_COUNT,"ENVIRONMENT_VARIABLE, CONFIGURATION","GRAPHRAG_EMBEDDING_THREAD_COUNT is an environment variable pivotal in the Motor Control and Drive Systems domain, specifically within the context of the GraphRAG system. This variable dictates the number of threads allocated to the embedding component, a crucial aspect of the system's performance and efficiency. By default, GRAPHRAG_EMBEDDING_THREAD_COUNT is set to 50, which, while promoting high concurrency, may inadvertently trigger performance issues due to excessive thread usage. Adjusting this variable can significantly mitigate concurrency-related problems, thereby enhancing the stability and overall performance of the GraphRAG system. This understanding is essential for professionals in the Motor Control and Drive Systems domain looking to optimize their systems and avoid potential bottlenecks.",27,,['0dc1f5e4f8fb5903f12acf8e141fb205' '2b777e3d591ce1511a03abd1a6d8dc73'],"[ 0.0116748   0.03142565 -0.01624197 ... -0.03390775 -0.03220916
 -0.02576124]"
3d6b216c14354332b1bf1927ba168986,GRAPHRAG,"PRODUCT, TECHNOLOGY","GraphRAG (Graph Retrieval-Augmented Generation) is a sophisticated software tool developed by Microsoft Research, designed to enhance the capabilities of Large Language Models (LLMs) in reasoning about complex information, particularly within private datasets. It operates by extracting a knowledge graph from the input corpus, which is then augmented with community summaries and graph machine learning outputs to improve query responses. GraphRAG demonstrates a significant enhancement in answering intricate questions compared to other approaches.

The process involves indexing and slicing the input corpus into TextUnits, followed by entity and relationship extraction. Hierarchical clustering using the Leiden technique is applied to identify themes and semantic clusters, enabling a more effective global search. Summaries of each community are generated to provide a holistic understanding of the dataset, facilitating the summarization of themes in response to user queries.

GraphRAG is a structured, hierarchical approach to Retrieval Augmented Generation (RAG) that leverages the natural modularity of graphs to partition data for global summarization. It is distinct from other graph-based RAG systems by its ability to create domain adaptive templates for the generation of knowledge graphs. This feature improves the results of an Index Run by adapting to specific domains through the use of templates.

The tool requires an initialized workspace with the graphrag.index --init command to function properly. The initialization process creates necessary configuration files and default prompts. Users can customize the template generation algorithm by tweaking various parameters, allowing for greater flexibility and adaptability to different domains.

GraphRAG is a system for managing and processing graph-based data, offering features such as indexing, querying, and adapting prompts for better data handling. It is a software product that enhances the question-and-answer performance of Language Models (LMs) by using knowledge graphs, aiming to provide better insights and understanding compared to Baseline RAG. GraphRAG is a tool that enables the analysis of LLM-generated knowledge graphs, providing insights into the structure and themes of datasets.",28,,"['12294feb07a1d202b27241eaaf64718b' '32603b739bed06b4695b0cc3915b2c4b'
 '369b39fdfd649d6df32a5d7b4cc559b7' '3e143a60e2aeb57eb418a68d1484bbb3'
 '812b3414c467da0b62f7932d2adcbad4' '849698743b07680402ff8572b1c6c469'
 '9b364093aeecfc789c70fc5bd9503487' 'd0f7c236538005bc3056b7daed2401d8'
 'd441b136505c273cf3577b6867e872e4' 'e015335cdcae20e6546fe7cbdef56c1a'
 'e6fa3bdaf65c92df6b3430f02804321a']","[ 0.03192798  0.0029551  -0.02123717 ... -0.0067685  -0.01572336
  0.04018514]"
1c109cfdc370463eb6d537e5b7b382fb,GPT-4 TURBO,"PRODUCT, TECHNOLOGY","GPT-4 Turbo is a version of the GPT-4 model that is used to generate knowledge graphs from text data. It is capable of creating detailed and structured representations of information, which can be used in various applications including GraphRAG.",29,,['e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.04422943 -0.02396359  0.01973582 ...  0.00576751  0.00381952
 -0.01833563]"
3d0dcbc8971b415ea18065edc4d8c8ef,MICROSOFT RESEARCH BLOG POST,ONLINE_RESOURCE,The Microsoft Research Blog Post is an online resource that provides information about GraphRAG and how it can be used to enhance the ability of Large Language Models (LLMs) to reason about private data. It offers insights into the GraphRAG system and its applications.,30,,['e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.02823504  0.01516174 -0.02106258 ...  0.02029049 -0.04670781
  0.04743102]"
68105770b523412388424d984e711917,GITHUB REPOSITORY,ONLINE_RESOURCE,"The GitHub Repository is an online resource where the source code and documentation for GraphRAG can be found. It is a platform for developers to access, contribute to, and collaborate on the GraphRAG project.",31,,['e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.01204341  0.0212788  -0.01416511 ... -0.02347205  0.01786183
 -0.01050931]"
85c79fd84f5e4f918471c386852204c5,GRAPHRAG ARXIV,ONLINE_RESOURCE,"GraphRAG Arxiv is an online resource that contains research papers and documentation related to GraphRAG. It is a repository for academic and technical papers that discuss the theory, implementation, and applications of GraphRAG.",32,,['e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.02132612  0.01793148 -0.00309032 ... -0.01484746 -0.00255113
 -0.01938851]"
eae4259b19a741ab9f9f6af18c4a0470,SOLUTION ACCELERATOR,"PRODUCT, TECHNOLOGY",The Solution Accelerator is a package that provides a user-friendly end-to-end experience with Azure resources for quickstarting the GraphRAG system. It is recommended for users who want to start using GraphRAG with ease.,33,,['e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.0028679   0.0280288  -0.02645066 ... -0.02471621 -0.00904732
  0.02096158]"
3138f39f2bcd43a69e0697cd3b05bc4d,GET STARTED GUIDE,ONLINE_RESOURCE,"The ""GET STARTED GUIDE"" is a comprehensive resource designed to assist new users in effectively utilizing the GraphRAG software. Available both as a document and an online resource, it offers clear instructions and information to help users understand the basic functionalities and setup process of the system. The guide provides a step-by-step approach, making it easy for beginners to navigate through the initial stages of using GraphRAG.",34,,['32603b739bed06b4695b0cc3915b2c4b' 'e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.02576707  0.00559134 -0.02945534 ... -0.02937737  0.00635886
  0.02401094]"
dde131ab575d44dbb55289a6972be18f,INDEXER,"PRODUCT, TECHNOLOGY","The Indexer is a sophisticated software tool and a critical sub-system of GraphRAG, designed to process, organize, and prepare data for efficient search, analysis, and retrieval. It excels in handling and processing large datasets by extracting information from raw text, indexing it, and building a structured knowledge graph represented in .parquet output files. These files contain structured data that is accessible for both Local and Global search methods, ensuring that the data is ready for querying and analysis. The Indexer's role is pivotal in the GraphRAG process, as it creates a structured representation of information, enabling the software to manage and process extensive data sets effectively.",35,,"['32603b739bed06b4695b0cc3915b2c4b' '8c70a7321fb0e945054d226a8c69abee'
 'ae6e91a8cc5773dbd4789773c9ef5a30' 'e6fa3bdaf65c92df6b3430f02804321a']","[ 0.01353317 -0.00178407 -0.04319632 ... -0.00494313 -0.01169442
  0.01400428]"
de9e343f2e334d88a8ac7f8813a915e5,QUERY PACKAGE,"PRODUCT, TECHNOLOGY","The Query package, a crucial sub-system of GraphRAG, serves as a powerful tool for users seeking to explore and extract information from the knowledge graph. It facilitates the search process within the indexed data, allowing users to interact effectively with the graph and retrieve pertinent results. This subsystem ensures that users can efficiently query the knowledge graph, making it an essential component for anyone aiming to harness the full potential of GraphRAG's data resources.",36,,['32603b739bed06b4695b0cc3915b2c4b' 'e6fa3bdaf65c92df6b3430f02804321a'],"[ 0.02977812 -0.00145355 -0.026257   ... -0.0460513  -0.01353162
  0.02569106]"
e2bf260115514fb3b252fd879fb3e7be,SOLUTION ACCELERATOR PACKAGE,"PRODUCT, SOFTWARE","The Solution Accelerator package is a software product designed to offer a user-friendly experience in managing and utilizing Azure resources, streamlining the process for end-users.",37,,['32603b739bed06b4695b0cc3915b2c4b'],"[-0.02636567  0.02656752 -0.02280916 ... -0.01667903 -0.01866167
  0.02848459]"
b462b94ce47a4b8c8fffa33f7242acec,BASELINE RAG,"PRODUCT, SOFTWARE","Baseline RAG (Retrieval-Augmented Generation) is a foundational technology in LLM-based tools that enhances the outputs of Language Models (LMs) by incorporating real-world information through a vector search method. This technique identifies semantically similar text content within a dataset, aiming to solve problems in communications by connecting disparate pieces of information. However, Baseline RAG has limitations in handling complex information and reasoning about private datasets. It struggles with queries that require aggregation of information across the dataset, as it relies on finding text that is semantically similar to the query, rather than traversing through shared attributes for new insights. Additionally, Baseline RAG performs poorly in understanding summarized semantic concepts over large data collections or singular large documents. Despite these challenges, Baseline RAG remains a crucial approach in leveraging vector similarity to augment language model outputs.",38,,"['32603b739bed06b4695b0cc3915b2c4b' '3e143a60e2aeb57eb418a68d1484bbb3'
 'd441b136505c273cf3577b6867e872e4']","[ 0.01401414  0.02271356  0.00639585 ...  0.05172024 -0.01968571
  0.04691074]"
17ed1d92075643579a712cc6c29e8ddb,LLMS,"TECHNOLOGY, ARTIFICIAL INTELLIGENCE","LLMS, also known as Large Language Models (LLMs), are sophisticated AI models designed to process and generate text that closely mimics human language. These models are widely utilized in research studies and various applications due to their ability to understand complex linguistic patterns. In the context of GraphRAG, LLMs play a pivotal role in constructing a knowledge graph from an input corpus. They excel in tasks such as entity and relationship extraction, as well as hierarchical clustering, making them indispensable tools for analyzing and structuring large volumes of textual data.",39,,"['40f2d6a0270e54743e7ace239369da96' '53455f8552b0787cb13c5a03eb550842'
 '6dace8e490674ac8e031aed987a63789' 'd441b136505c273cf3577b6867e872e4']","[ 0.05993932  0.02003021 -0.00636358 ...  0.02656004 -0.0547429
  0.03957954]"
3ce7c210a21b4deebad7cc9308148d86,LEIDEN TECHNIQUE,"METHOD, ALGORITHM","The Leiden Technique is a sophisticated algorithm employed in the GraphRAG process for hierarchical clustering of graphs. This method, a refined version of the Louvain method, is instrumental in visually representing the clustering of entities and relationships within the graph. In the visual representation, entities are depicted as circles, where the size of the circle corresponds to the degree of the entity, and the color signifies its community, providing a comprehensive and intuitive understanding of the graph's structure and dynamics.",40,,['369b39fdfd649d6df32a5d7b4cc559b7' 'd441b136505c273cf3577b6867e872e4'],"[ 0.01776054  0.00157537  0.03120119 ... -0.01538379 -0.00719793
  0.04267764]"
d64ed762ea924caa95c8d06f072a9a96,TEXTUNITS,DATA UNIT,"TextUnits are the analyzable units created by slicing up the input corpus in the GraphRAG process. They serve as the basis for entity, relationship, and key claim extraction and provide fine-grained references into the outputs.",41,,['369b39fdfd649d6df32a5d7b4cc559b7'],"[ 0.01711229 -0.00938693  0.00505242 ...  0.01319462  0.03364523
  0.00559151]"
adf4ee3fbe9b4d0381044838c4f889c8,LLM,"TECHNOLOGY, TOOL","LLM, or Language Learning Model, is a pivotal technology in the domain of text analysis, serving multiple functions such as summarization, entity resolution, and claim extraction. It is employed to capture unique information from various descriptions, reconcile entities that denote the same real-world entity but are known by different names, and distill claims from source TextUnits. LLM acts as a configuration property in entity extraction, where it specifies the language model to be utilized for analyzing text. This technology is integral to the GraphRAG process, aiding in the identification of entities, relationships, and key claims within TextUnits. The 'llm' configuration setting is critical, as it determines the AI or machine learning model that will process the text in various processes such as entity extraction, summarization, and claim extraction. Additionally, 'llm' is a configuration field within community_reports, referring to the top-level LLM configuration. This setting encompasses parameters that define the operational aspects of the language model and its application within the system.",42,,"['1a4bca0786d529c91073997b63412adc' '369b39fdfd649d6df32a5d7b4cc559b7'
 '3e143a60e2aeb57eb418a68d1484bbb3' '53f1b5ad1d2f4ee5dfb53a8f1ff3ec14'
 '9cbd4e21339eeed5e22a638e52a094cb' 'abac77a5673e907cf8d65161c2612784'
 'd27237468a1b9e89110eeeca8080f63c' 'd44248ff7b7bfd969a7208eb3d6e2a78']","[ 0.02605454  0.00751888 -0.02844662 ...  0.0064631  -0.06743792
  0.07708047]"
32ee140946e5461f9275db664dc541a5,COMMUNITY SUMMARIES,"DATA, OUTPUT","Community Summaries are a pivotal component within the GraphRAG framework, serving as a kind of self-memory for generation-augmented retrieval that facilitates future generation cycles. These summaries are pre-generated for groups of closely-related entities identified in the entity knowledge graph, designed to scale to very large datasets and independently useful for understanding the global structure and semantics of the dataset. They are created for each community in the Leiden hierarchy, allowing for answering questions at different hierarchical levels, which may offer varying balances of detail and scope for general sensemaking questions. The summaries are categorized into different levels (C0-C3), with C0 being the root-level summary and C3 the low-level summary, providing a more concise representation of the original content.

The summaries are prepared by shuffling and dividing them into chunks of pre-specified token size to ensure even distribution of relevant information. They are ranked based on the number of tokens they contain, and shorter summaries may replace longer ones to fit within the context window. The summaries are used to generate community answers, which are then combined into a global answer. The global answer is generated by mapping community answers, generating intermediate answers for each chunk, and reducing them to a single global answer. The intermediate answers are scored by an LLM on a scale of 0-100 based on their helpfulness in answering the target question, with answers scoring 0 being filtered out. The global answer is the final result of this process, making the community summaries a crucial element in the generation of a comprehensive and contextually relevant response to user queries.

For leaf-level communities, element summaries are added to the LLM context window until the token limit is reached. For higher-level communities, if all element summaries fit within the token limit, they are summarized as is; otherwise, sub-community summaries are substituted for their associated element summaries to fit within the context window. Community summaries are condensed versions of information or data, often created by or for a community, which can be used to provide an overview or key insights from a larger set of data or documents. They are generated for leaf-level and higher-level communities to provide an overview of the elements (nodes, edges, covariates) within a corpus, prioritized based on the prominence of the elements, and used to make sense of a corpus or to answer global queries.",43,,"['369b39fdfd649d6df32a5d7b4cc559b7' '7040ba36a7c09899a355d14a30d65375'
 '71f14506a6b15dfabd93fd1606a67b73' '7da3d8d244b67f09425a4a7783e4bb55'
 '849698743b07680402ff8572b1c6c469' '93d4d4effbf989e6ef1c4c3b4f42494e'
 '9b52298451f8936974ab08a129b0b92e' 'a660289d2bf43f25d3524d35cd2d9a96'
 'b149708d0b4ac3ff417565739ea6b03b' 'd08fc91bbfe9749abab38a99a1a88dc6'
 'f76c18c7582167c3626f8741c2c9374f']","[ 0.06163266  0.00447385 -0.02342983 ... -0.03188805 -0.00943854
  0.0460614 ]"
c160b9cb27d6408ba6ab20214a2f3f81,GLOBAL SEARCH,"FUNCTION, QUERY MODE","Global Search is a comprehensive query method designed to answer complex, high-level questions about a dataset by aggregating information across the entire dataset. This method leverages the structure of an LLM-generated knowledge graph to identify themes and semantic clusters, enabling the summarization of these themes in response to user queries. Global Search is particularly useful after the Indexer has processed the data, as it allows for the exploration of the dataset's overall content and structure. In the context of the GraphRAG process, Global Search serves as a query mode that facilitates reasoning about holistic questions concerning the corpus by utilizing community summaries. The Query Engine employs Global Search to generate answers by searching over all AI-generated community reports in a map-reduce fashion, which, although resource-intensive, often yields high-quality responses for questions that require an understanding of the dataset as a whole.",44,,"['369b39fdfd649d6df32a5d7b4cc559b7' '3e143a60e2aeb57eb418a68d1484bbb3'
 'ae6e91a8cc5773dbd4789773c9ef5a30' 'f8cf53ce98a8bc52581f7907ad98ef70']","[ 0.02916778  0.02550031 -0.0547419  ... -0.0287048  -0.04299146
  0.04123661]"
23527cd679ff4d5a988d52e7cd056078,LOCAL SEARCH,"FUNCTION, QUERY MODE","Local Search is a sophisticated method employed in the GraphRAG process and the Query Engine, designed to answer specific questions about particular aspects or entities within a dataset. This technique combines structured data from the knowledge graph with unstructured data from input documents to augment the context of a language model with relevant entity information at query time. It is particularly adept at providing detailed information about specific characters, themes, or relationships within the data, offering a more targeted approach to data exploration.

Local Search enables reasoning about specific entities by exploring their immediate neighbors and associated concepts in a graph or network. It uses a context builder class to generate context for the search and can be enhanced with various parameters such as llm_params and context_builder_params. This method is suitable for questions that require an understanding of specific entities mentioned in the documents, as it can extract and prioritize relevant structured and unstructured data, including entities, relationships, and other data records, which are then used to generate context for question generation.

However, Local Search is limited in its ability to aggregate information across the entire dataset, focusing instead on finding information that is semantically similar to a query within a specific context. By fanning out to the neighbors and associated concepts of a particular entity, Local Search offers a powerful tool for data exploration and question answering in specialized professional networks and beyond.",45,,"['1415949832ba3fee570ea961998a8ac4' '364624242a84e1859e758069d914d8c8'
 '369b39fdfd649d6df32a5d7b4cc559b7' '3e143a60e2aeb57eb418a68d1484bbb3'
 '849698743b07680402ff8572b1c6c469' 'ae6e91a8cc5773dbd4789773c9ef5a30'
 'f8cf53ce98a8bc52581f7907ad98ef70']","[ 0.05030566  0.02945241 -0.02895395 ... -0.01047921 -0.04997007
  0.03152579]"
